[2020-10-15 06:56:35.120] [ INFO    ] [server:__init__:149] 13532 Server initialized for threading.
[2020-10-15 06:56:35.273] [ WARNING ] [_internal:_log:122] 13532 WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
[2020-10-15 06:56:35.275] [ INFO    ] [_internal:_log:122] 13532  * Restarting with stat
[2020-10-15 06:56:36.025] [ INFO    ] [server:__init__:149] 16700 Server initialized for threading.
[2020-10-15 06:56:36.116] [ WARNING ] [_internal:_log:122] 16700 WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
[2020-10-15 06:56:36.117] [ WARNING ] [_internal:_log:122] 16700  * Debugger is active!
[2020-10-15 06:56:36.123] [ INFO    ] [_internal:_log:122] 16700  * Debugger PIN: 822-076-161
[2020-10-15 06:56:37.219] [ INFO    ] [_internal:_log:122] 16700  * Running on http://0.0.0.0:5009/ (Press CTRL+C to quit)
[2020-10-15 06:56:43.289] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:43] "GET / HTTP/1.1" 200 -
[2020-10-15 06:56:43.332] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:43] "GET /swaggerui/droid-sans.css HTTP/1.1" 200 -
[2020-10-15 06:56:43.534] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:43] "GET /swaggerui/swagger-ui.css HTTP/1.1" 200 -
[2020-10-15 06:56:43.636] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:43] "GET /swaggerui/swagger-ui-bundle.js HTTP/1.1" 200 -
[2020-10-15 06:56:43.637] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:43] "GET /swaggerui/swagger-ui-standalone-preset.js HTTP/1.1" 200 -
[2020-10-15 06:56:44.111] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:44] "GET /swagger.json HTTP/1.1" 200 -
[2020-10-15 06:56:44.127] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:44] "GET /swaggerui/favicon-32x32.png HTTP/1.1" 200 -
[2020-10-15 06:56:48.580] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:48] "GET /index HTTP/1.1" 200 -
[2020-10-15 06:56:48.893] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:48] "GET /static/jquery.min.js HTTP/1.1" 200 -
[2020-10-15 06:56:48.914] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:48] "GET /static/socket.io.min.js HTTP/1.1" 200 -
[2020-10-15 06:56:49.685] [ INFO    ] [socket:send:92] 16700 2ca4d78c866543929970b90b1d7e5e94: Sending packet OPEN data {'sid': '2ca4d78c866543929970b90b1d7e5e94', 'upgrades': [], 'pingTimeout': 60000, 'pingInterval': 25000}
[2020-10-15 06:56:49.685] [ INFO    ] [socket:send:92] 16700 2ca4d78c866543929970b90b1d7e5e94: Sending packet MESSAGE data 0
[2020-10-15 06:56:49.685] [ INFO    ] [_internal:_log:122] 16700 127.0.0.1 - - [15/Oct/2020 06:56:49] "GET /socket.io/?EIO=3&transport=polling&t=1602719809680-0 HTTP/1.1" 200 -
[2020-10-15 06:56:49.694] [ INFO    ] [socket:receive:49] 16700 2ca4d78c866543929970b90b1d7e5e94: Received packet MESSAGE data 0/thermoai
[2020-10-15 06:56:49.694] [ INFO    ] [socket:send:92] 16700 2ca4d78c866543929970b90b1d7e5e94: Sending packet MESSAGE data 0/thermoai
